Daniel Fried,47070750
Graham Neubig,1700325
Yonatan Bisk,3312309
Ralf D. Brown,2109449533
Jamie Callan,144987107
Justine Cassell,145431806
Mona T. Diab,1700007
Fernando Diaz,145472333
S. Fahlman,1758714
R. Frederking,2260563
A. Gershman,145001267
Alexander Hauptmann,7661726
Daphne Ippolito,7975935
Lori S. Levin,1686960
Lei Li,143900005
T. Mitamura,1706595
Louis-Philippe Morency,9933077
David R. Mortensen,3407646
Kemal Oflazer,1723120
Eric Nyberg,144287919
Yiming Yang,35729970
Chenyan Xiong,144628574
Eric P. Xing,2064963077
S. Welleck,2129663
Shinji Watanabe,1746678
A. Waibel,1724972
Emma Strubell,2268272
Rita Singh,153915824
M. Shamos,1890127
Maarten Sap,2729164
Alexander I. Rudnicky,1783635
C. Rosé,35959897
B. Ramakrishnan,1880336
